Handle,Channel Name,Join Date,Description,Thumbnail URL,Subscriber Count,View Count,Video Count
@atlhawks,Atlanta Hawks,2011-07-27,"Welcome to the official YouTube channel of the Atlanta Hawks! Serving the people and communities of Atlanta & beyond since 1968.
",https://yt3.ggpht.com/ytc/AIdro_mPOJ32w3Uk2OTi9mkjED-JmhNT7VOLICRH7Uvt-PyWkQ=s176-c-k-c0x00ffffff-no-rj,101000,35511482,3610
@brooklynnets,Brooklyn Nets,2007-03-30,"Subscribe to the Brooklyn Nets YouTube channel to watch our original all-access series The Bridge,  Nets Generation, From ____ to Brooklyn, Nets Rewind, Nets Pod, game highlights, press conferences, and more from the team.",https://yt3.ggpht.com/6-i4pbKvRcetjAhKqqWIvj0MsNZfq6Kn3VSda6FGque_x8c0GuRinNEtxUqsrcABFEn_jgdy=s176-c-k-c0x00ffffff-no-rj,168000,85107480,3172
@bucks,Milwaukee Bucks,2007-02-08,"Official YouTube channel of the Milwaukee Bucks.
",https://yt3.ggpht.com/skFhY9dQTYDWoSTo16owEjwz4YhZOjr3nH9Kc7KIbM0E22umt3IvifRfei-IUdD9wE-XO1BlAg=s176-c-k-c0x00ffffff-no-rj,457000,147107563,5103
@cavs,Cleveland Cavaliers,2007-06-01,"Official YouTube page of the Cleveland Cavaliers. 

For full coverage of the team, visit https://www.cavs.com.
",https://yt3.ggpht.com/Zu-SwwrVdsjcdAj9ztwVUn0mQVS1mQSEAtsHHDMvU8bxTk9JiqBzQ7FyKbGYageO1nGweafM0A=s176-c-k-c0x00ffffff-no-rj,138000,21569189,4165
@celtics,Boston Celtics,2006-04-29,"The only official channel of the 18-time World Champion Boston Celtics and home of the View From The Rafters podcast. 
",https://yt3.ggpht.com/ZDKTfnwEcdKHC_sc45_o6vjVFnv22Td-7UDA91lnB13bUxpX8qSeXpLVhb0e3nG9HKuUPrvWl2A=s176-c-k-c0x00ffffff-no-rj,259000,48831664,2948
@chicagobulls,Chicago Bulls,2008-02-04,"The official YouTube channel of the 6-time World Champion Chicago Bulls. Enjoy exclusive behind-the-scenes access of the team, funny off-court videos, and more!

More content: https://www.nba.com/bulls",https://yt3.ggpht.com/ytc/AIdro_l8Ie3r7Euo-g2mZu1eB-gPbGs7F6cQSI86-6PvF-0NC5c=s176-c-k-c0x00ffffff-no-rj,351000,55492042,1508
@denvernuggets,Denver Nuggets,2008-09-04,"Official YouTube for the Denver Nuggets with the latest news, features and original team content.",https://yt3.ggpht.com/CPwdjUsrIo1UgqNQLKWKIFFSbYtgowizYaGdgNy2ga8kwcq8oWU1VXpFwEd22WTTRPEbOCgHNJ4=s176-c-k-c0x00ffffff-no-rj,197000,96165313,5938
@hornets,Charlotte Hornets,2014-11-06,"Welcome to the official YouTube channel of the Charlotte Hornets featuring behind-the-scenes footage, special features, and more! #HiveMentality
",https://yt3.ggpht.com/T6kO01sFWe3Fw13GAH_4Mytr6nc2qmSK-RM7qCtZYD6SXkVydFokR-5QFmmNDbciSoo5AZYkuDs=s176-c-k-c0x00ffffff-no-rj,53400,13586231,2108
@laclippers,LA Clippers,2006-12-18,The Official Account of the LA Clippers.,https://yt3.ggpht.com/VmjHVA-9178Iewkjle_Z-vYioO2Z25Bhj4i8NDAsuETGAWCIwT_3VC_ZRO-ll2klEScwTueNyQ=s176-c-k-c0x00ffffff-no-rj,226000,119925554,7288
@lakers,Los Angeles Lakers,2017-07-22,Welcome to the #LakeShow | 17x Champions,https://yt3.ggpht.com/9ubNXtsrqMzRa1osrojGmiYQOStjWRXja9kUqQPWPG4oJGmO2eKY2TFTka6ZcYuBSilE4WBStQ=s176-c-k-c0x00ffffff-no-rj,2330000,310509746,5168
