Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
UjsrLMY13Bo,"I Hit a 3 in front of 17,000 People",2026-02-28,Long Form,21M31S,1291,1687708,40096,1040
A10M15TdZpI,HOW MANY BALLOONS TO FLY? (Mini Games Battle),2026-02-07,Long Form,18M34S,1114,17402327,71402,1824
dgr4_G8-7F8,Highest Dunk Wins,2026-01-17,Long Form,14M24S,864,8269602,70453,2255
KuYj339iJfg,Dude Perfect vs Savannah Bananas in Every Sport | Squad Games,2025-12-27,Long Form,48M33S,2913,4404058,80435,2704
0o94V7NGcR8,OVERTIME IS BACK! | OT 49.5,2025-12-06,Long Form,28M49S,1729,4837733,119723,25214
uBGUkbeqFs8,100 Person Rocket Battle,2025-11-15,Long Form,28M27S,1707,3912384,72946,2760
JfDgvERBi-M,All Sports Golf Battle 6 (feat. DP Wives),2025-10-25,Long Form,28M26S,1706,9355410,164440,4120
TIPBeJq2CA8,Going to Every Disney Park in 75 Hours,2025-10-04,Long Form,27M41S,1661,7133809,64602,2041
kljxVDeApFQ,Dude Perfect vs. Good Good in Every Sport | Squad Games,2025-09-13,Long Form,35M39S,2139,7002824,152126,7213
rWt4ME_xyfM,Dude Perfect vs Robots,2025-08-23,Long Form,13M27S,807,18993382,100157,2224
KnZEH3-9pnM,Who is the Strongest Dude?,2025-08-02,Long Form,16M53S,1013,9623984,103081,1985
W1FzfKrT5LM,I Tried America's Most Dangerous Sport,2025-07-12,Long Form,28M33S,1713,7505705,142903,6171
XZB9eG2wYow,100 Person Airsoft Battle Royale,2025-06-21,Long Form,21M25S,1285,9462465,146710,2646
sgCLXGtoqXE,Level 1-50 EXTREME Basketball Shots With Caitlin Clark,2025-05-31,Long Form,15M13S,913,4977146,98744,2876
z93_sStwW9o,We Raced The Craziest Soapbox Cars Ever!,2025-05-17,Long Form,13M25S,805,10589790,94062,3484
NHozLQe99oM,Tortoise vs. Hare - Who Wins?,2025-04-26,Long Form,15M,900,13548009,96629,1862
YJt2E33zEL4,Stranded In Arctic Wilderness | Winter Survival Games,2025-04-05,Long Form,29M51S,1791,8128591,115949,3136
iKB8StO052g,We Built A 1000 MPH Baseball Cannon,2025-03-22,Long Form,13M54S,834,5884727,89095,2600
lcLpV8vYUg4,REAL or CAKE with Nick DiGiovanni,2025-03-08,Long Form,25M27S,1527,7566521,120808,3848
jvUX3ocBSCk,20 YouTubers Compete in Biggest Trick Shot Contest Ever!,2025-02-22,Long Form,29M58S,1798,13956939,169247,4709
AqWjPfz1HEg,First To The Top Wins A Lamborghini,2025-02-08,Long Form,23M1S,1381,9087743,122597,3031
MjU2hs-mK2k,Dude Perfect vs Keanu Reeves (150 MPH),2025-01-25,Long Form,26M28S,1588,7676534,177133,3819
