Video ID,Title,Upload Date,Numeric Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
1IqyCayNcwA,$20 vs $200 vs $300 Steak,2026-03-10,20260310,Short,1M9S,69,675517,35182,310
tQWg27P9zM4,This Tuna Tastes Like Steak,2026-02-24,20260224,Short,40S,40,36906550,935118,3481
HyKwtw5lNgw,NYE King Crab Round 4,2026-01-26,20260126,Short,1M36S,96,5997414,195182,2289
z7mVwMY9zvU,"$1,000,000 Blue Lobster Roll",2026-01-20,20260120,Short,48S,48,10437138,300563,985
EODD7d6aZ28,I Tasted the Spiciest Peppers in the World,2025-12-23,20251223,Short,2M45S,165,6105713,349232,6167
hXV1S_u7yPc,$1 vs $50 vs $100 Tuna Sushi,2025-12-17,20251217,Short,53S,53,3551064,123823,637
J7tqgy37zko,I Tried Military Food from EVERY Country,2025-12-08,20251208,Short,2M59S,179,8785116,438590,4234
9PojynDizbk,I Cooked the WAGYU of Land Animals,2025-11-26,20251126,Short,1M46S,106,3468662,146886,1293
oi3vNoo-0Zs,I Ranked EVERY Beef Jerky in the World,2025-11-24,20251124,Short,3M,180,1407249,66765,1190
qvrux62QJ70,The Perfect Thanksgiving Turkey,2025-11-21,20251121,Short,1M1S,61,1555516,70330,544
HATr32J0yCw,I Cooked the Wagyu of Every Bird,2025-11-20,20251120,Short,1M47S,107,4766326,228199,1244
ajDa3jQjO6U,100 Layer Beef Monster,2025-11-07,20251107,Short,50S,50,32146529,1178924,3833
RTwfAxBbGDM,Peach Habanero Brûlée Burnt Ends,2025-10-27,20251027,Short,56S,56,3160904,146994,732
kpIJCxgq_y8,I Cooked the WAGYU of Every Seafood,2025-10-03,20251003,Short,2M2S,122,14028779,686396,2379
DRbTyPfGgsg,I Tested EXTREME Steak Recipes,2025-09-30,20250930,Short,2M31S,151,13619482,550989,1862
CpZEdOqC5-Y,I Tested EXTREME Chicken Recipes,2025-09-17,20250917,Short,2M10S,130,12518827,726434,3303
61W1g566kVw,I Tested EVERY Meat Tenderizer,2025-09-15,20250915,Short,2M25S,145,10675906,511478,3233
eA13YbQkycw,Exotic briskets… like Texas Briskets?,2025-08-28,20250828,Short,1M34S,94,9271359,392014,2430
suWt1WsB398,I Cooked EVERY Exotic Brisket,2025-08-27,20250827,Short,3M,180,4335026,225173,2056
b6NCuJwTIMg,Lobster Crab Boil with ​⁠​⁠a UFC Champ,2025-08-18,20250818,Short,32S,32,1500974,51833,267
dWeg54PVeOg,Inside a Salmon MEGA Farm (20 million lbs),2025-07-28,20250728,Short,46S,46,6994702,216916,1701
E_gckbY2HjE,Cooking Every EXOTIC Salmon,2025-07-23,20250723,Short,2M39S,159,11611005,728416,5824
iczZQVnKzIQ,Rating EVERY Outdoor Boys Meal,2025-07-21,20250721,Short,2M48S,168,21308901,1173499,3907
AsI2TGaVn6E,"$50 vs $2,000 Brisket",2025-07-15,20250715,Short,1M6S,66,11841323,426150,2181
Mk87CPlWzzY,Cooking the World's DEADLIEST Animals,2025-07-09,20250709,Short,3M,180,44202430,2018500,27550
OxjdjieK5Nk,30lb Buffalo Wing,2025-07-02,20250702,Short,30S,30,36032727,733334,2808
LEbDxWMNirM,Fire Grilled Stingray,2025-06-18,20250618,Short,43S,43,10075202,352773,2471
NFbeAas3YN4,Fertilized Duck Egg… Round 2,2025-06-11,20250611,Short,1M2S,62,1765386,56360,2081
nxOk5eZ-W9Y,20 Day Dry Aged Chimichurri Duck,2025-06-04,20250604,Short,40S,40,3066274,102450,362
hziqTqnleM0,I Cooked Every Bird in the World,2025-05-23,20250523,Short,2M57S,177,66000820,3031692,39143
ZVWOwoIv6Bg,"1,000 Garlic Clove Prime Rib @CHEFCUSO",2025-05-21,20250521,Short,35S,35,3496612,106810,552
