Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
2EiSzIALDww,North Code S8E5: Nothing But Internet Playoffs,2026-01-29,Long Form,12M14S,734,14,1,0
FQSrY3LuY1Q,NBA Guess Who in 2K26,2026-01-25,Short,9S,9,7876,36,2
y0jJ4hTZNqE,NBA 2K26 Jumpshot NBA Guess Who,2026-01-18,Short,9S,9,6251,41,3
iWKn5cVTTTk,2K26 Jumpshot NBA Guess Who,2026-01-11,Short,16S,16,2887,21,1
MzOQ0tHjb1o,2K26 NBA Guess Who: Jumpshots,2026-01-04,Short,11S,11,7274,45,4
hzl25j9YEF0,2K26 NBA Guess Who: Jumpshots,2025-12-28,Short,9S,9,12313,66,5
KMsBNy5tnlI,2K26 NBA Jumpshot Guess,2025-12-21,Short,11S,11,5174,38,2
TAjkkhBF7xY,The Best Holiday Gift for Gamers! The LG UltraGear 27-inch OLED 480 Hz Gaming Monitor!,2025-12-19,Short,47S,47,1168,5,1
bF9yLI2uT3E,2K26 Jumpshot NBA Guess Who,2025-12-14,Short,12S,12,7373,58,0
X-ycKJjh10U,NBA 2K26 Best Layup Packages Floater Comparison,2025-12-07,Short,16S,16,13311,115,6
SI9_MRFccgA,2K26 Jumpshot NBA Guess Who,2025-11-30,Short,12S,12,4476,34,1
WgnCVshv9fA,2K26 Jumpshot NBA Guess Who,2025-11-23,Short,11S,11,17070,113,8
gqIxg6vG14s,North Code S8E4: Top Dogs vs Underdogs,2025-11-20,Long Form,10M9S,609,80,2,0
PXu2c41bxl8,2K26 Jumpshot NBA Guess Who,2025-11-16,Short,11S,11,42625,450,4
L-GMbWkzG_s,2K26 NBA Jumpshot Guess Who,2025-11-11,Short,11S,11,15483,133,6
ywJVp06vzf4,North Code S8E3: Community Clash,2025-11-07,Long Form,11M37S,697,38,2,1
9LQawePM2qM,2K26 Jumpshot NBA Guess Who,2025-11-03,Short,11S,11,17875,146,7
Kqiv6S2GZF4,2K26 Jumpshot NBA Guess Who,2025-10-26,Short,10S,10,8556,40,4
