Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
J6DqiC-ZFdI,Final Destination sucks (but we need it),2025-06-05,Long Form,20M22S,1222,472410,31821,1970
m7RkZS1zPR4,Fox ruins Melee,2024-08-12,Short,1M,60,1262792,98890,592
MSrUEzQsN2A,Grasping Mewtwo’s balls,2024-08-11,Short,57S,57,988159,99814,750
Q8eCLkDwdak,Falco deeply regrets shooting his lasers,2024-08-10,Short,50S,50,902082,79892,222
ArJVB-5wo00,Turning Yoshi into a pixel,2024-08-09,Short,41S,41,3453264,254527,706
kJufw3_NW4g,Pikachu makes WAY too many noises (Pichu too),2024-08-08,Short,49S,49,864570,89664,292
hzft8THAM-Q,Young Link is a lame version of himself,2024-08-07,Short,59S,59,1196654,107854,521
CVjd7T0DjVQ,Ness gives Melee its T rating,2024-08-06,Short,37S,37,2063961,166612,1191
IF0ZzqjnRyA,Zelda is more useful than we tho– damn.,2024-08-05,Short,57S,57,1002991,87656,317
Jci9pSCQetY,Fixing Luigi’s Mariometer,2024-08-04,Short,49S,49,1873766,139770,719
Z-6cVqNRwjs,Falcon just says “no”,2024-08-03,Short,1M,60,1645087,132352,440
2feajcSIHNk,The Fat Marth technique,2024-08-02,Short,55S,55,1254707,100427,460
Bx_Njbd1mHY,Jigglypuff stretches you to your limit,2024-08-01,Short,1M,60,1441627,129617,542
K59ZTeLvbPA,Mario’s cape breaks reality,2024-07-31,Short,52S,52,1735509,140714,626
sARx6BTPI3I,The Mystery of Doc's pill,2024-07-30,Short,57S,57,700361,70245,248
u7_QGDqe09Y,Ganondorf’s deadly intimidation tactics,2024-07-29,Short,56S,56,1301531,106190,369
iN1f-OnK3Cg,Roy defies the laws of physics to kill you,2024-07-28,Short,55S,55,2943784,235483,771
QCq-c8EaoJ8,The power of Melee sends Kirby to space,2024-07-27,Short,59S,59,976985,98695,770
JofywXgWI4c,You WILL learn how to goomy zoomy.,2024-07-26,Short,55S,55,1047321,91408,427
DpOhCOxtKsI,Bowser was almost not worthless,2024-07-25,Short,57S,57,2535875,174985,654
4jd_coa9qVM,"Alright, I'll explain the Link thing",2024-07-24,Short,59S,59,2516164,172515,808
IXQIAR1NOBM,Game and Watch spills oil then dies,2024-07-23,Short,59S,59,2560658,206044,756
mrGS6O1JMD4,Donkey Kong's secret technique,2024-07-22,Short,59S,59,984281,108418,567
VicjHXnTAL0,Peach's Weird Eyelid,2024-07-21,Short,1M,60,1139421,100616,636
nviIKTywuYU,A video about Melee,2024-07-14,Long Form,26M39S,1599,1041813,58430,3057
