Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
hClYdu030DQ,Giving Too Much Information Devon Werkheiser | Crash Dummies Podcast Ep.205,2025-05-07,Long Form,1H24M53S,5093,35515,1433,265
ttwdFgxV39k,"We Wanted to talk trees, he wanted to talk trophies & belts 😂 #standupcomedy #relateablecontent",2025-05-07,Short,1M,60,5628,301,5
xlQ5fBV-nDs,The Most Desperate Thing You’ve Done | Crash Dummies Podcast Ep.204,2025-04-30,Long Form,1H10M5S,4205,30471,765,78
WiCR4oJK1e4,Did he say it weird? #podcast #standupcomedy #relateablecontent #funny #podcastclips #comedy,2025-04-30,Short,53S,53,8316,410,4
jBNuWSuT8mw,WEEEE!?!? #podcast #standupcomedy #relateablecontent #funny #comedy,2025-04-25,Short,1M,60,13389,760,8
pON7aiOYSU4,Most High Moment | Crash Dummies Podcast Ep.203,2025-04-23,Long Form,1H6M9S,3969,29551,829,141
5cSzSS6m12o,It’s a cold works out here! #podcast #standupcomedy #relateablecontent #funny #comedyvideos,2025-04-22,Short,1M,60,7470,271,5
6i3cua38WOA,I can be that 🤣 #podcast #standupcomedy #relateablecontent #funny #comedyvideos,2025-04-21,Short,1M,60,14646,727,18
pGesTN-D58g,I know What You Are feat. @414bigfrank  | Crash Dummies Podcast Ep.202,2025-04-16,Long Form,1H15M17S,4517,30309,847,147
WhROJ58C5wg,Tried to add us to his scenario 🤣 #podcast #relateablecontent #comedy #funny #standupcomedy,2025-04-14,Short,1M,60,16071,736,7
yyrTCU1LC-8,This call started with one problem and turned into another 🤣,2025-04-11,Short,1M,60,6330,290,6
Kw7qI6piYNE,Nah she cooked us! #podcast #relateablecontent #funny #comedy #standupcomedy,2025-04-10,Short,1M,60,9595,402,10
Ctq-I9etdeE,The CarFax feat. Brandon Jennings | Crash Dummies Podcast Ep.201,2025-04-09,Long Form,1H15M15S,4515,30372,830,79
JtOYVv2Usg4,At least she respects chapter 13 bankruptcy #podcast #relateablecontent #funny #standupcomedy,2025-04-07,Short,1M,60,7521,327,7
iIUvTA31p70,"Play stupid games, win stupid prizes 🤣 #podcast #relateablecontent #funny #comedy #standupcomedy",2025-04-06,Short,30S,30,22387,1139,7
aFL-Y3wPzUo,He’s definitely not healed! #podcast #relateablecontent #funny #comedyvideos #standupcomedy,2025-04-05,Short,1M,60,8868,330,3
_1nfh012BwA,The Storyline | Crash Dummies Podcast Ep.200,2025-04-02,Long Form,1H24M12S,5052,30710,823,154
54zWwIrFoqY,She Called In And Made It Her Podcast 🤣 #podcast #relateablecontent #funny #comedy #standupcomedy,2025-04-01,Short,1M,60,12567,543,9
aHqd5rj3VOg,How Can You Get A Boat On A Plane!? #podcast #relateablecontent #funny #comedyvideos #standupcomedy,2025-03-31,Short,1M,60,18717,1043,13
