Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
QjlHwoqy_90,there will Never Ever be another movie like Office Space,2025-04-25,Long Form,50M14S,3014,585451,42820,4667
xXJM9RtbNNs,Poker's Greatest Tournament Run,2024-11-25,Long Form,34M43S,2083,1937034,112311,4169
q8rsNwYFXyA,Jar Jar is the Key (to all of this),2024-07-31,Long Form,44M46S,2686,1035426,53232,5656
l96dQ0__dhI,Racing's Most Bizarre Accident,2024-06-12,Long Form,19M26S,1166,2028193,103498,4484
NXVNYhyy-pA,"Two Days in Moore, Oklahoma",2024-05-03,Long Form,42M6S,2526,1523765,77153,6117
PYmi559SpWI,The Most Profitable Film in History,2023-12-20,Long Form,22M40S,1360,1402274,66046,2490
SyyOryf_tDo,Ghosts of the '72 Dolphins,2023-10-31,Long Form,54M9S,3249,1746273,69089,4254
3-mjTQ0VBwI,Pandora's Box,2023-07-17,Long Form,32M42S,1962,1961442,115581,5879
tktJss1x0eA,Rogue Waves,2023-04-10,Long Form,16M24S,984,2749379,109328,3334
k-tFYMzxi8Q,The Matrix: De-booted,2023-01-31,Long Form,41M33S,2493,1376092,66687,5759
Cq7X7xt9ObQ,American Psychos,2022-11-01,Long Form,39M11S,2351,2061038,106023,5288
0Si5njM3yHI,Art of the Choke,2022-08-31,Long Form,51M23S,3083,4197276,144470,9355
polObRCwKP8,The History of the Downward Spiral,2022-07-02,Long Form,1H39M32S,5972,1280648,63730,5972
PUKfmMH157U,New Coke,2022-04-23,Long Form,30M7S,1807,4061517,138095,8920
Jp35RSGt_Dg,Mac Tonight,2022-03-12,Long Form,29M16S,1756,3798848,156101,8620
F6U9amcfU-s,Home Movies: The Spirit of Creation,2021-12-11,Long Form,26M52S,1612,749475,46922,2921
T-VZ1kL8ZgE,The Everest Discrepancy,2021-11-03,Long Form,31M17S,1877,6389407,198289,8243
w0d_AUAHVeo,TALLADEGA: Nascar's Most Feared Track,2021-10-01,Long Form,1H1M10S,3670,3971265,126222,7082
fIzuV5p-maw,Rare Items,2021-08-20,Long Form,24M49S,1489,3549827,159178,5746
xgKY9hmbfgo,Sacrifices to the Church of Nintendo,2021-06-30,Long Form,28M47S,1727,1985356,112146,15863
C4q3og9NP9E,The Wizard of Oz and the Dark Side of Hollywood,2021-05-07,Long Form,21M26S,1286,1612553,92594,6604
7RjAWFDL3fA,Nascar and the Art of Revenge,2021-04-10,Long Form,38M20S,2300,6510254,183090,8692
Tq-qU_GCCLI,there will Never Ever be another Simpsons episode like Homer's Enemy,2021-02-26,Long Form,41M8S,2468,7214523,224896,11484
YzfUj-m2I6I,Sympathy for the Villain.,2021-01-01,Long Form,23M36S,1416,7720308,401827,14391
EYz679UzlwM,The Fruit of the Loom Discrepancy,2020-11-25,Long Form,15M38S,938,1908242,88049,8122
dGLKuibR4Bk,This is what true FEAR looks like.,2020-10-29,Long Form,6M53S,413,369007,33514,2387
NorHmI6wTec,THE THING: Horror in Isolation,2020-10-27,Long Form,21M5S,1265,838530,51134,3043
gOovr8C_P6U,Have Video Games been on a Downward Spiral?,2020-10-05,Long Form,27M56S,1676,1753579,90811,12773
XIYyQEbLtHc,Operation Red Herring: Further Down the Wormhole,2020-08-25,Long Form,21M40S,1300,947274,43211,3094
aM-hy6_f45M,"Rick and Morty: Good Show, m.A.A.d. fandom",2020-07-28,Long Form,34M46S,2086,3335559,133324,10225
inf6IToYyM8,The Quest for the Blue Checkmark,2020-07-02,Long Form,27M48S,1668,1354595,77901,6062
1cAlXqHAqXw,The History of the World's Highest Jump,2020-05-27,Long Form,35M43S,2143,3643405,139668,8368
-6-i75wDIBE,The YouTube Thumbnail Metagame,2020-04-23,Long Form,16M53S,1013,1081082,58151,3165
nBQFls_elpY,Operation Red Herring | YouTube Geographic,2020-03-27,Long Form,55M27S,3327,2117711,81605,7170
dmLSJrA0n9w,there will Never Ever be another Melee player like Hungrybox,2020-01-27,Long Form,1H24M38S,5078,10069643,342622,26530
r_7jLI1qO4Q,Copyright Law is a Joke. | The YouTube Copyright Metagame pt. 3,2019-12-13,Long Form,21M40S,1300,757956,42342,3360
VvFGumd_esg,Copyright Smuggling | The YouTube Copyright Metagame pt. 2,2019-11-21,Long Form,25M22S,1522,1171425,52534,3097
BPIC2A_YeI0,The YouTube Copyright Metagame (Part 1),2019-09-21,Long Form,21M21S,1281,1122467,50165,2951
iZwuodw2NdU,The Video Convention (Q&A),2019-08-13,Long Form,15M34S,934,169661,9982,907
eRhHokffvBU,there may Never Ever be another man as powerful as Stanislav Petrov,2019-07-07,Long Form,41M38S,2498,1973386,85962,6840
z8hX7VzVs7E,Frying Comments: The Origin of the Downward Spiral,2019-06-04,Long Form,29M12S,1752,905555,49565,4989
fdGbOT8NXnE,Why You Should Like Dislikes,2019-05-04,Long Form,27M8S,1628,1214897,93193,7974
IxTAJNifDAI,there will Never Ever be another driver like Dale Earnhardt,2019-03-03,Long Form,54M56S,3296,5363966,165489,17451
rnvSs3HEz2o,there will Never Ever be another show like Monday Night Raw,2019-01-05,Long Form,34M54S,2094,3163021,98492,7713
aTARZcGhg4U,YouTube's Next Great War,2018-12-20,Long Form,20M40S,1240,807658,57089,9319
qV2h_KGno9w,Viacom Sues YouTube for a Billion Dollars | YouTube Geographic,2018-12-13,Long Form,26M53S,1613,1487118,54926,3775
1cvgoY0cmzk,The End of PewDiePie's Reign Represents the End of an Era on YouTube,2018-10-12,Long Form,17M24S,1044,564854,29928,4664
Xr1O8BvQiDA,In Defense of BehindTheMeme.,2018-09-30,Long Form,7M57S,477,467125,27987,3326
cYu7Y52iiYI,there will Never Ever be another cartoon like Spongebob Squarepants.,2018-09-19,Long Form,26M49S,1609,6822823,311843,26362
yLuS3P-I1xk,Memes of the Month | June & July 2018,2018-07-31,Long Form,3M31S,211,193141,10249,1554
bBm8B_Wej0E,Grabahan | Minute Memes,2018-07-23,Long Form,1M19S,79,189945,11873,1564
iSYhBL14gOA,Leafy Was Here - Resolutions (ft. Tommy C.),2018-07-20,Long Form,1H30S,3630,281900,12496,2418
VSrxYqfb3UQ,YouTube Partners with T R U S T E D News Corporations like Fox News and CNN,2018-07-16,Long Form,10M43S,643,271079,15692,2133
KkUWjmCNb6g,Europe Votes to Ban Memes | Minute Memes,2018-06-22,Long Form,2M3S,123,224423,15438,2999
oDKDavhYRAk,Leafy Was Here | YouTube Geographic,2018-06-20,Long Form,51M53S,3113,4608853,179763,25176
Snv0rK9NO2g,Memes of the Month - May 2018 | Minute Memes,2018-06-01,Long Form,2M32S,152,172976,10330,1038
Lu0KdDLqj3Q,Emperor Lemon's Summer Bummer (Part 1),2018-05-26,Long Form,1H12M10S,4330,129332,5287,1751
-_7CZABpGFc,E | Minute Memes,2018-05-23,Long Form,1M15S,75,282277,13448,1845
wGW_y4jgUbk,Memes of the Month - April 2018 | Minute Memes,2018-04-30,Long Form,2M32S,152,177363,10452,1333
3C4nvSwOYOc,Neutral Response | YouTube Geographic,2018-04-25,Long Form,9M58S,598,715085,32374,3704
uLTeMC81FV0,Jimmy Kimmel Represents Everything Wrong with American Entertainment,2018-04-07,Long Form,31M48S,1908,3587862,153976,26587
GXNOMBYgBE0,The Problem with the Teletubbies REBOOT Explained and Here's Why [RANT],2018-04-01,Long Form,19M10S,1150,185097,9846,2750
60yuDfPuzYw,Krusty Krab vs. Chum Bucket | Minute Memes,2018-03-28,Long Form,1M19S,79,148921,7654,774
IMISxZ_DukU,Peter Hurts His Knee | Minute Memes,2018-03-20,Long Form,1M19S,79,192585,8309,785
hrYuisjK21g,Savage Patrick | Minute Memes,2018-03-06,Long Form,1M19S,79,189909,9674,984
qP8idVro3ms,MeiAIDS Spreads an Epidemic | YouTube Geographic,2018-03-02,Long Form,12M44S,764,725942,29672,3164
KP_fYu-LVLk,Ugandan Knuckles | Minute Memes,2018-02-14,Long Form,1M19S,79,231968,11427,1433
tGg9fEnQrwk,Steamed Hams | Minute Memes,2018-02-07,Long Form,1M16S,76,245291,13029,1376
vzimbYbrnhc,Welcome | Minute Memes,2018-02-02,Long Form,1M16S,76,145848,9897,1292
gWJN74bDj30,YouTube Responds to Logan Paul just NINE DAYS Later (Audio Only Reupload),2018-01-16,Long Form,18M55S,1135,95981,3824,683
JrF_27OJtW8,YouTube Responds to Logan Paul just NINE DAYS Later (and now I've lost it completely),2018-01-13,Long Form,18M54S,1134,410860,25188,4190
9KPHvrJ_92M,SUBMIT TO THE CHURCH OF MONTIZON | THE ALMIGHTY YOUTUBE PROPHET | ALL HAIL MONTIZON ▼▼▼▲▲▲,2017-12-25,Long Form,5M57S,357,150319,10938,1460
