Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
fam0AWzv0g0,what’s up chat + irl 100k Shopping Spree GIVING JAMAL MY CREDIT CARD IF HE RUNS ONE MILE…💵🛍️🛒,2025-05-09,Livestream,3H52M10S,13930,2725521,82929,2119
Bz0hb76kdwc,Finishing My Hair Today + BEATING PUSHN IT TOGETHER,2025-05-08,Livestream,3H44M57S,13497,2436117,66137,2140
N32DiyCPzKo,NEW HAIRSTYLE TODAY + GTA 6???,2025-05-06,Livestream,4H13M29S,15209,3200926,95626,1394
bjVWn28I07M,NO. MORE. BREAKS. + IRL STREAM??,2025-05-05,Livestream,3H59M14S,14354,2543450,90353,1606
r9UA3ondtaw,"we LAUGH, you WIN $$$ ft. KSI",2025-04-26,Livestream,3H26M50S,12410,3933457,132792,4036
YdZntExmo_k,WORLDS GOT TALENT,2025-04-21,Livestream,5H30M41S,19841,2744747,91583,2278
o3N-9nklu3U,BACK AND BETTER 谢谢 速度,2025-04-20,Livestream,6H15M4S,22504,3265912,100450,1703
0mwuGExoxFU,irl stream in Mongolia 🇲🇳,2025-04-11,Livestream,5H2M54S,18174,7127555,221077,9073
7cAzQjnEqXs,"irl stream in Changsha, China🇨🇳 + Meeting Da Zang Wei🎤",2025-04-07,Livestream,6H1M43S,21703,9451445,203862,13283
zTW20UFOVbo,"irl stream in Shenzhen, China 🇨🇳🤖",2025-04-05,Livestream,5H43M15S,20595,8716045,215980,10992
oNS8PHxWdp8,irl stream in Hong Kong 🇭🇰  (38 million……),2025-04-04,Livestream,9H39M38S,34778,11138160,262398,15172
QtIlD6uxwwk,"irl stream in Cyber City Chongqing, China🇨🇳🌃",2025-04-02,Livestream,6H31M26S,23486,9353786,239941,15751
g4TDjwPRArg,"irl stream in Chengdu, China  🇨🇳",2025-03-31,Livestream,5H23M23S,19403,8787288,221674,13348
zBL_5DkiXCk,Becoming a Shaolin Monk in China 🥋🇨🇳 irl stream,2025-03-28,Livestream,4H49M56S,17396,8023455,212406,14767
K8d4n9GhBrg,"irl stream in Beijing, China 🇨🇳 + Great Wall of China",2025-03-26,Livestream,6H9M52S,22192,5982938,152514,13498
fK85SQzm0Z0,"irl stream in Shanghai, China 🇨🇳",2025-03-24,Livestream,6H20M,22800,7615384,239459,15433
oTx6EXTQNSQ,AI TROLLING ON OMEGLE 😂 + SPLIT OR STEAL,2025-03-19,Livestream,2H54M27S,10467,2050561,75410,1635
rX7kyY2lWTM,Click This If You Love Your Mom 👩,2025-03-16,Livestream,4H13M23S,15203,2513325,98677,1661
SahEdZYx7Ds,not ending until i beat Tower Of Hell (roblox),2025-03-14,Livestream,3H16M17S,11777,2671545,77400,4417
-e3j2xzAakg,I FINNNALY SCORED!!!!!,2025-03-12,Livestream,2H51M,10260,1928454,64034,1520
5BixN1cdMwg,WE WON!!! Sidemen Charity Match Post Game ⚽️,2025-03-08,Livestream,39M51S,2391,2219690,76592,1545
IOknw-sk3ns,irl PRE GAME at the Sidemen Charity Match ⚽️,2025-03-08,Livestream,1H33M25S,5605,3328490,106213,1192
EE90rnGMBGI,irl Sidemen Charity Match Training ⚽️ ft. Youtube All Stars,2025-03-07,Livestream,1H52M21S,6741,2669534,91127,2376
xFe7M0bFXSo,"irl $20,000 1v1 Football Tournament ⚽ (UK Edition 🇬🇧)",2025-03-06,Livestream,3H28M55S,12535,2811987,89117,1172
so1Y06pQ_UM,"Live on CBS ft. Thierry Henry, Jamie Carragher, Micah Richards & others.. ⚽️",2025-03-05,Livestream,57M11S,3431,1820123,72261,2267
p36Nhm-PZKc,TALENT SHOW STREAM ✨  (HAPPY SUNDAY),2025-03-02,Livestream,4H21S,14421,1924480,65460,1559
OJq1w0DVheE,March 1st 2025 Stream (Ramadan),2025-03-01,Livestream,4H5M40S,14740,2560934,96714,2008
O3Sp6OqKGxA,BEATING MONSTER HUNTER WILDS RIGHT NOW… (Final Boss) 🧌 pt 2,2025-03-01,Livestream,1H53M34S,6814,489072,15498,508
gDrGbdEPcdw,BEATING MONSTER HUNTER WILDS… 🧌,2025-03-01,Livestream,11H55M,42900,1642131,46282,465
cbY0lKd0-Q4,THIS STREAM IS NOT ENDING UNTIL I LAUGH,2025-02-24,Livestream,3H43M38S,13418,2203727,74309,1986
xc0ET_UbPvE,I REMEMBER,2025-02-23,Livestream,5H14M8S,18848,2461406,87864,1650
iRzlxL-qepw,dont feel good🤒,2025-02-18,Livestream,4H4M9S,14649,2564310,88816,1784
JyVae6nu0HI,LONG TIME NO SEE,2025-02-18,Livestream,6H58M50S,25130,3200461,95383,1896
T4_sOUawGD4,"irl Charity Football Match ⚽️ ft. Thierry Henry, Iniesta, KSI, Chunkz & more 🇶🇦 (Match For Hope)",2025-02-14,Livestream,4H12M50S,15170,8422270,232930,5204
qOFU-x4Pikc,"irl at Super Bowl LIX Flag Football Game on YouTube 🏈 ft. Kai Cenat, Druski",2025-02-09,Livestream,2H31M36S,9096,3060340,82664,2780
lowzMhQuh1E,PLAYING FORTNITE OG UNTIL WE WIN ⛏️🥇 ft. Kai Cenat (RANKED Season 2),2025-02-05,Livestream,10H18M34S,37114,5239881,143924,2106
87JeRmiBZak,irl stream at WWE Royal Rumble 🤼,2025-02-02,Livestream,52M38S,3158,7359099,254141,10934
Mi1w07kgo5g,irl stream in Bolivia 🇧🇴,2025-01-29,Livestream,27M48S,1668,3423113,90383,14702
qvhH0EgKUiI,irl stream in Peru 🇵🇪,2025-01-28,Livestream,3H37M,13020,9075783,413721,19975
mn0mcy763iI,irl stream in Paraguay & Brazil 🇧🇷🇵🇾,2025-01-27,Livestream,2H20M48S,8448,2513302,81009,3639
m3fzVMVEj8U,irl stream in Uruguay 🇺🇾,2025-01-25,Livestream,3H6M11S,11171,3391748,124718,4952
9xHloVj7b1s,irl stream in Chile 🇨🇱,2025-01-23,Livestream,4H51S,14451,7357138,243109,12257
_C7EuXcsveg,irl stream in Argentina 🇦🇷 35 million….. (20th birthday..),2025-01-21,Livestream,3H3M18S,10998,7717339,344770,10325
UTHmxfJlxGE,irl stream in Panama 🇵🇦,2025-01-18,Livestream,3H20M26S,12026,4806744,148718,7917
3bV4x2uLtB0,irl stream in Ecuador 🇪🇨,2025-01-16,Livestream,3H25M48S,12348,4318749,167404,6028
DGsqQlVTcGE,irl stream in Guatemala 🇬🇹,2025-01-14,Livestream,2H23M37S,8617,2734179,111669,4418
1GBOYFAHRA0,irl stream in Colombia 🇨🇴,2025-01-12,Livestream,3H16M13S,11773,5136217,187804,4697
fQWNwRxi_8w,Beating Red Dead Redemption 2 pt. 4🤠🩸🐎 (not ending until i complete it),2025-01-08,Livestream,9H14M8S,33248,4347660,110476,3244
XDrzuCwDWhw,Beating Red Dead Redemption 2 pt. 3🤠🩸🐎 (not ending until i complete it),2025-01-08,Livestream,11H25M36S,41136,4952468,114359,713
pkJTQ9_q0sk,Beating Red Dead Redemption 2  pt. 2 🤠🩸🐎  (not ending until i complete it),2025-01-07,Livestream,11H10M13S,40213,3703919,94765,607
vdNF4aTjGfQ,Beating Red Dead Redemption 2 pt. 1 🤠🩸🐎 (not ending until i complete it),2025-01-07,Livestream,11H33M55S,41635,6429863,177166,1310
9NUIiWef3eI,FIRST OF 2025!,2025-01-05,Livestream,5H14M5S,18845,3123997,86575,1735
dpgRc8PvUIo,PLAYING FORTNITE UNTIL WE WIN pt 5 ⛏️ ft. Kai Cenat (RANKED),2024-12-30,Livestream,11H6M49S,40009,8782523,176723,6492
GLCnbEunjSs,PLAYING FORTNITE UNTIL WE WIN pt 4 ⛏️ ft. Kai Cenat (RANKED),2024-12-29,Livestream,11H14M59S,40499,6050689,132136,809
tyIuYkABPfo,PLAYING FORTNITE UNTIL WE WIN pt 3⛏️ ft. Kai Cenat (RANKED),2024-12-29,Livestream,11H35M18S,41718,8057141,171755,1748
rgNcb8PTvgc,PLAYING FORTNITE UNTIL WE WIN pt 2⛏️ ft. Kai Cenat (RANKED),2024-12-28,Livestream,11H41M35S,42095,6605377,165245,835
qkrO2TkbL2A,PLAYING FORTNITE UNTIL WE WIN ⛏️ ft. Kai Cenat (RANKED),2024-12-28,Livestream,11H41M40S,42100,8402406,217843,2446
zlNtIRF8JVk,MERRY CHRISTMAS🎄🎅🏻 OPENING GIFTS🎀✨,2024-12-24,Livestream,2H31M13S,9073,2201767,79689,2678
xLMu9ExcNFI,MOVIN TO FAST,2024-12-24,Livestream,5H46M18S,20778,2222617,67132,1402
Dm7XL5wC7vI,ISNT IT LOVELY,2024-12-17,Livestream,3H8M27S,11307,1817351,58513,1980
-QbgVXly-aw,MESSI IN FORTNITE!?!?!?!? WTF (not ending until i get a win),2024-12-15,Livestream,7H35S,25235,6067690,168925,3312
_tQhvJtWw-8,OG FORTNITE WITH SPEED ⛏️ (not ending until i get a win),2024-12-07,Livestream,9H26M47S,34007,4393221,126836,4499
zkuaQ3kgM70,5th December❄️,2024-12-05,Livestream,3H14M22S,11662,1973724,65361,1635
t_npca6fskA,NEW SETUP REVEAL,2024-12-03,Livestream,3H11M3S,11463,2995289,107437,3439
gJQODaIaB2Y,irl stream in Australia 🇦🇺 pt 3 Gold Coast,2024-11-28,Livestream,4H18M52S,15532,2434379,67447,3112
sOg3dXxbUh4,irl stream in New Zealand 🇳🇿 pt 2 Auckland,2024-11-25,Livestream,5H24M34S,19474,2361119,64822,2663
eFz30QfDvwg,irl stream in New Zealand 🇳🇿,2024-11-24,Livestream,4H14M4S,15244,2528855,71160,3371
YPabvqBLo8w,irl stream in Australia 🇦🇺 pt 2,2024-11-22,Livestream,4H3M,14580,2099260,68378,2454
C8Gqmu4p49s,irl stream in Australia 🇦🇺,2024-11-21,Livestream,4H5M40S,14740,2846740,99540,3841
DvaPazAX7lw,NOT ENDING UNTIL I LAND A DOUBLE BACKFLIP....,2024-11-13,Livestream,5H9M8S,18548,3894370,127650,1661
1O5GVUU7qvI,YOU ARE MY FRIEND,2024-11-12,Livestream,3H24M3S,12243,2125188,65072,1389
4mxjWDRw3lU,11/11 MAKE A WISH,2024-11-11,Livestream,4H39M54S,16794,2399846,77636,1394
HZXefjyU-eM,SPEED vs NOAH LYLES 🏃🏾💨 (FASTEST MAN ALIVE),2024-11-07,Livestream,39M20S,2360,3081137,102415,6743
gK7ujITLzao,33 million......,2024-11-06,Livestream,51M20S,3080,1513670,70624,2302
yNOmR0Fq3RM,SPEED X PAUL POGBA 🇫🇷,2024-11-05,Livestream,3H2M4S,10924,6454597,275585,4098
uCQDC4rkA5k,WHAT DO U WANNA DO🤨,2024-11-04,Livestream,5H33M48S,20028,3313574,90525,2518
wFwYaEzlmQQ,NOVEMBER🍁santai🍁Ch.2,2024-11-02,Livestream,4H1M25S,14485,2289433,79004,1957
k-VgUvmBH8E,irl trick or treat + haunted house stream👀🎃🧌,2024-11-01,Livestream,2H24M27S,8667,2379680,81786,2572
c70s8ux50lQ,"irl HAUNTED HOUSE ft. MrBeast, xQc, Logan Paul, Fanum & Lexi Rivera🎃👻💀",2024-10-31,Livestream,2H2M21S,7341,6187774,215127,9217
WHgJX12AhTQ,irl Ballon d’Or stream 🏆 2024,2024-10-28,Livestream,3H22M26S,12146,12817660,366362,2800
wk1WLOa6jBA,BEATING FEARS TO FATHOM ☠️ ALL EPISODES,2024-10-13,Livestream,5H5M25S,18325,2743880,81877,3510
bPihACF7MIs,my legs hurt 😞,2024-10-12,Livestream,3H58M37S,14317,2676280,80969,1872
mRSF3lDKSWo,Attempting the MOST BACKFLIPS in 24 HOURS Pt. 2 (WORLD RECORD),2024-10-09,Livestream,7H9M47S,25787,4459839,107189,3805
Er2qHguUr_0,Attempting the MOST BACKFLIPS in 24 HOURS (WORLD RECORD),2024-10-09,Livestream,11H27M38S,41258,6932435,202679,909
mFsCe7AIxq8,sick of it,2024-10-07,Livestream,2H54M13S,10453,2569231,90898,2773
NQ6LAuWLsmM,BEATING OUTLAST 2 (HORROR GAME) ☠️🕷️,2024-10-03,Livestream,6H5M54S,21954,3051009,100444,2191
O4SLIxC3s8I,BEATING OUTLAST  (HORROR GAME) ☠️🕷️🕸️👻,2024-10-02,Livestream,3H54M14S,14054,4242701,107384,2344
Qq2CpCNGiZA,RETURN... OF SPEEEEEED 💀🎃,2024-10-01,Livestream,3H37M23S,13043,3327923,123692,3032
g5Xj6GFuHzA,irl stream in Philippines pt 3 🇵🇭 Cebu City,2024-09-25,Livestream,1H9M57S,4197,4750947,132573,13157
oZxOzl441qQ,irl stream in Singapore 🇸🇬 32 million……..,2024-09-24,Livestream,4H38M20S,16700,6973851,185753,7665
bh4Y6M4KJoY,irl stream in Cambodia pt 2 🇰🇭 Phnom Penh,2024-09-23,Livestream,3H1M35S,10895,5501155,188667,6677
8FzcNN3ZvB0,irl stream in Indonesia pt 3 🇮🇩 Yogyakarta,2024-09-21,Livestream,2H14M21S,8061,11611943,456830,32773
BF9qBZhlgsY,irl stream in Indonesia pt 2 🇮🇩 Bali,2024-09-20,Livestream,3H59M44S,14384,15626091,622255,19650
9s6imDGjy08,irl stream in Indonesia 🇮🇩,2024-09-18,Livestream,3H47M48S,13668,27349579,1204614,52362
Ws9hCaDuUWQ,irl stream in Malaysia 🇲🇾,2024-09-17,Livestream,4H55M8S,17708,10524378,293427,21025
yyNDJuMCxDc,irl stream in Cambodia 🇰🇭 30 million.......,2024-09-16,Livestream,50M52S,3052,4585919,228166,9426
VTorUJcMYGg,irl stream in Vietnam 🇻🇳,2024-09-14,Livestream,3H36M21S,12981,7809555,275805,14602
F4DvCG9Nhlk,irl stream in Philippines pt 2 🇵🇭 ft. Manny Pacquiao,2024-09-12,Livestream,3H14M37S,11677,8877473,276906,12810
qWuJYrEZBkw,irl stream in Philippines 🇵🇭,2024-09-11,Livestream,3H24M53S,12293,8793467,307198,23816
8Z-5l40luGc,irl stream in Thailand pt 2 🇹🇭 Pattaya City,2024-09-10,Livestream,5H30M11S,19811,6797252,244169,6162
