Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
5A-K8uUwjOA,I Tried MREs from EVERY Military,2025-09-21,Long Form,43M26S,2606,2377132,56123,4139
CpZEdOqC5-Y,I Tested EXTREME Chicken Recipes,2025-09-17,Short,2M10S,130,5912412,397855,1939
61W1g566kVw,I Tested EVERY Meat Tenderizer,2025-09-15,Short,2M25S,145,4989795,311400,2007
a-MeAE4YL6c,I Ranked YouTuber's BEST Recipes,2025-09-14,Long Form,27M24S,1644,1329439,32320,1062
JEIgKG_Wdvw,I Cooked Every EXOTIC Shrimp,2025-09-07,Long Form,34M23S,2063,1911032,42537,2640
MOTPMbYNDl8,I Cooked the ‘Wagyu’ of EVERY Animal,2025-08-31,Long Form,46M33S,2793,4050239,85555,4158
eA13YbQkycw,Exotic briskets… like Texas Briskets?,2025-08-28,Short,1M34S,94,5214446,247139,1569
suWt1WsB398,I Cooked EVERY Exotic Brisket,2025-08-27,Short,3M,180,2261755,126453,1331
6x_edHR1Nqg,I Tried 100 Years of Steakhouse Dinners ($10 per decade),2025-08-19,Long Form,40M30S,2430,2260754,41377,2801
b6NCuJwTIMg,Lobster Crab Boil with ​⁠​⁠a UFC Champ,2025-08-18,Short,32S,32,692499,29113,206
RwNC2WbGIZs,I Ranked EVERY Beef Jerky in America,2025-08-03,Long Form,22M23S,1343,1006192,21834,1979
dWeg54PVeOg,Inside a Salmon MEGA Farm (20 million lbs),2025-07-28,Short,46S,46,6065835,192410,1530
E_gckbY2HjE,Cooking Every EXOTIC Salmon,2025-07-23,Short,2M39S,159,7998240,513577,4467
iczZQVnKzIQ,Rating EVERY Outdoor Boys Meal,2025-07-21,Short,2M48S,168,13134511,860916,2901
21QoVAZXobI,I Tested the 10 Most EXTREME Steak Recipes,2025-07-20,Long Form,24M,1440,3020446,46044,1700
AsI2TGaVn6E,"$50 vs $2,000 Brisket",2025-07-15,Short,1M6S,66,8225577,324133,1692
XZmSxqujiCo,I Rated Your CRAZIEST Steak Recipes,2025-07-13,Long Form,28M11S,1691,2431401,42722,2263
Mk87CPlWzzY,Cooking the World's DEADLIEST Animals,2025-07-09,Short,3M,180,27541796,1545287,20775
db72C1gIJ3s,I Challenged EVERY YouTube Chef (Best Steak Wins),2025-07-06,Long Form,33M6S,1986,3148873,53681,5719
OxjdjieK5Nk,30lb Buffalo Wing,2025-07-02,Short,30S,30,16467670,416063,1370
iJhQkwKjdTk,I Cooked EVERY Animal’s Brisket,2025-06-29,Long Form,45M17S,2717,5564291,90231,12504
mLivzfKJlu4,I Rated EVERY Outdoor Boys Meal,2025-06-22,Long Form,23M6S,1386,11801609,223147,8083
LEbDxWMNirM,Fire Grilled Stingray,2025-06-18,Short,43S,43,8084720,296463,2058
ETykc3uRfms,I Ranked EVERY Trader Joe’s Meat Product,2025-06-15,Long Form,31M27S,1887,1267645,23978,3474
NFbeAas3YN4,Fertilized Duck Egg… Round 2,2025-06-11,Short,1M2S,62,1392449,48108,1716
nxOk5eZ-W9Y,20 Day Dry Aged Chimichurri Duck,2025-06-04,Short,40S,40,2232177,77004,293
lFl1Z5MfDDI,I Cooked Every EXOTIC Salmon,2025-06-01,Long Form,27M16S,1636,4558910,75422,3949
Vfj-UghAEu0,I Ranked EVERY Frozen Pizza in America,2025-05-25,Long Form,36M1S,2161,2502957,48126,6990
hziqTqnleM0,I Cooked Every Bird in the World,2025-05-23,Short,2M57S,177,43588786,2255219,26777
ZVWOwoIv6Bg,"1,000 Garlic Clove Prime Rib @CHEFCUSO",2025-05-21,Short,35S,35,2959866,93753,514
WBy0T3UMyDw,The Steak Masterclass (100+ Tips),2025-05-18,Long Form,44M26S,2666,2851666,56334,1787
Z6XPSpON7n8,"I Tested Every EXTREME Chicken Recipe (5,000+ yrs)",2025-05-11,Long Form,30M20S,1820,2071334,39338,1695
Uly7TYab6HE,Peter Luger Cowboy Butter Tomahawk,2025-05-11,Short,40S,40,1989382,84485,320
cw7nr8a7wH0,7 Day Honey Cured Wagyu A5,2025-05-10,Short,39S,39,23699444,844057,2977
D_QYRTqhtoQ,Barbacoa French Dip Cheese Steak @owen.han,2025-05-08,Short,40S,40,1757413,70367,232
