Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
41U-ofr7MxE,Botpress Platform Walkthrough,2025-09-30,Long Form,2M27S,147,9420,11,1
tmINY-UceiE,Automate Google Services with Botpress and Make,2025-09-29,Long Form,8M31S,511,191,7,1
f17B1NLu8ho,Multi-Tenant AI Agents: How to build a SINGLE bot for ALL your clients,2025-09-22,Long Form,13M55S,835,845,26,4
AnNmw620YwM,The NEW! Variable Management System #botpress #chatbots,2025-09-22,Short,1M12S,72,1252,28,0
C5bZ_H4HpU0,The NEW! Variable Management System,2025-09-18,Long Form,6M8S,368,383,13,0
9iRfW3aHtY8,Hard Coding Workflows: Quick and Accurate #botpress,2025-09-18,Short,1M39S,99,1052,23,0
zxBdQlv_JLs,"Lock in your Business' FAQ: Easy Questions, Easy Answers #botpress",2025-09-17,Short,48S,48,1235,12,0
bq3uti4XOHo,Build Smarter AI Agents with Adaptive Memory,2025-09-15,Long Form,9M44S,584,376,9,1
2R7xlByKiqo,Keeping Your Bot on Policy #botpress,2025-09-15,Short,1M11S,71,1405,19,1
J9FTK2wNwms,How to Prevent AI Hallucinations,2025-09-10,Long Form,25M26S,1526,330,10,2
i2PvwFnbiPU,AI Email Assistant Solved My Inbox Chaos,2025-08-26,Long Form,19M44S,1184,551,14,1
gbAMr5WLZP0,Como Conectar seu Chatbot de IA ao WhatsApp [2025],2025-08-13,Long Form,2M21S,141,506,11,2
LILz_T5yBtg,I Built an AI-Powered Web Extension. Steal it.,2025-08-11,Long Form,13M12S,792,683,23,3
aaz9532-Zws,GPT-5 is now available in Botpress,2025-08-08,Short,49S,49,1810,25,1
3RMOyqnJ4hc,Add a Customer AI Chatbot to Your Framer Website,2025-08-07,Long Form,8M28S,508,910,15,2
P4WuCdrzTe4,Respond to Voice Notes on WhatsApp using Chatbots,2025-08-04,Long Form,10M40S,640,648,14,14
gjJkoxNx9C4,FULL GUIDE to AI Lead Generation with 3 Real-World Examples,2025-07-14,Long Form,11M42S,702,753,22,3
tKrUfsKmr5U,What does external knowledge mean in an AI agent? #botpress #knowledgebase #aiagents,2025-07-09,Short,1M,60,1415,21,0
a0kj2lHiYhE,The role of LLMs play in AI Agents #botpress #aiagents #llm,2025-07-04,Short,41S,41,1408,26,0
X4365ojyshI,How to build a workflow in an AI Agent #botpress #aiagents #automation,2025-07-02,Short,57S,57,980,18,0
E-gWjNTiUss,What's the difference between workflows and agents? #aiagents #automation,2025-07-01,Short,34S,34,1421,16,0
wAvkzgPazf0,How to think about prompting for AI Agents #botpress #promptengineering  #machinelearning,2025-06-30,Short,44S,44,1320,23,0
enozAzfT7rI,Build a Website Chatbot in 3 Steps [2025],2025-06-24,Long Form,4M53S,293,3858,45,4
zhgRc0aMImM,Announcing our $25M Series B Financing Round,2025-06-23,Long Form,2M33S,153,684,27,0
8KwNToYOUXw,Your Business ISN'T READY for AI,2025-06-18,Long Form,23M49S,1429,599,13,1
VqD7sajNCs0,How to Build an AI Agent from Scratch,2025-06-16,Long Form,28M56S,1736,11059,152,6
