Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
AnNmw620YwM,The NEW! Variable Management System #botpress #chatbots,2025-09-22,Short,1M12S,72,1252,28,0
9iRfW3aHtY8,Hard Coding Workflows: Quick and Accurate #botpress,2025-09-18,Short,1M39S,99,1052,23,0
zxBdQlv_JLs,"Lock in your Business' FAQ: Easy Questions, Easy Answers #botpress",2025-09-17,Short,48S,48,1235,12,0
2R7xlByKiqo,Keeping Your Bot on Policy #botpress,2025-09-15,Short,1M11S,71,1406,19,1
aaz9532-Zws,GPT-5 is now available in Botpress,2025-08-08,Short,49S,49,1810,25,1
tKrUfsKmr5U,What does external knowledge mean in an AI agent? #botpress #knowledgebase #aiagents,2025-07-09,Short,1M,60,1415,21,0
a0kj2lHiYhE,The role of LLMs play in AI Agents #botpress #aiagents #llm,2025-07-04,Short,41S,41,1408,26,0
X4365ojyshI,How to build a workflow in an AI Agent #botpress #aiagents #automation,2025-07-02,Short,57S,57,980,18,0
E-gWjNTiUss,What's the difference between workflows and agents? #aiagents #automation,2025-07-01,Short,34S,34,1421,16,0
wAvkzgPazf0,How to think about prompting for AI Agents #botpress #promptengineering  #machinelearning,2025-06-30,Short,44S,44,1320,23,0
6DrWonwpme4,Extract and Process User Data from Botpress Chat,2025-05-28,Short,1M,60,2201,29,2
E8QLEaXpxnc,Add Event Tracking to a Botpress Bot,2025-05-26,Short,1M,60,1608,13,1
sTrjLZMEiOE,The 4 Types of Botpress Variables #botpress #artificialintelligence,2025-05-26,Short,1M,60,140,2,0
kqefmDTs2Uw,Top 10 AI chatbots,2023-10-23,Short,33S,33,10575,207,10
PaE-iGtg4jM,I used an AI chatbot to automate all my tasks and now I don't remember where I work,2023-10-20,Short,15S,15,2198,75,2
tikrL8EDm9M,We use an AI chatbot to order snacks,2023-10-19,Short,42S,42,5447,156,3
vf4xckKGmGg,Let's improve the rubber duck method #ai  #productivity,2023-10-17,Short,44S,44,2329,75,5
EATjniAe4X8,AI startup but make it friendship,2023-10-15,Short,14S,14,3970,71,0
QagMWTydtqE,I use my AI Chatbot like an autoresponder,2023-10-14,Short,7S,7,6427,115,6
-MsR21BF19Y,"hold on tight, spider monkey #ai #twilight",2023-10-13,Short,27S,27,1284,42,1
NRh4tMhE0CQ,AI Chatbot engineers vs. marketing team,2023-10-12,Short,13S,13,4767,120,4
WWVLFtW_xI0,Build a chatbot that learns from your knowledge,2023-10-11,Short,58S,58,4023,120,0
JzgIZrx5Zsw,"less time spent on repetitive questions, more focus time (ping pong)",2023-10-06,Short,49S,49,2212,79,7
ZoW1-CJ43cs,we gave our analyst the @connecting_global treatment,2023-10-05,Short,15S,15,5740,98,1
KO5_9fN6rs0,study smarter AND harder,2023-10-04,Short,42S,42,3139,125,6
ujWRvrsh4ck,keep askin' those questions #ai #study #productivity,2023-10-03,Short,35S,35,1373,51,7
_NA06nXo33k,Use AI to Stop Bothering Your Coworkers,2023-10-02,Short,35S,35,2336,84,9
dt8OYWQ9tGs,What to do when KB does not respond? (2/2) | Botpress Shorts,2023-07-21,Short,44S,44,10896,208,10
vidMaR9pcYg,How to use Knowledge Base Agent (1/2) | Botpress Shorts,2023-07-17,Short,26S,26,11179,242,5
izDdQ8_6omM,How to create and use variables | Botpress Shorts,2023-07-17,Short,45S,45,4556,106,5
D9EGSzKy-N0,"How to add an ""always"" transition | Botpress Shorts",2023-07-04,Short,23S,23,6796,86,6
y8MAjL8GScY,Add personality to your chatbot in seconds! | Botpress Shorts,2023-06-28,Short,32S,32,6833,154,3
SIrmuihqNhs,How to Set Chatbot's Language in Botpress | Botpress Shorts,2023-06-28,Short,45S,45,16023,293,8
cGP7XfAARUg,Botpress - The experience is extremely important.,2022-03-17,Short,40S,40,3049,112,5
