Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
BOmTTKTQceM,CRAZIEST IMPOSSIBLE SHOT YET 🤯🏒 @AlwaysHockey,2025-05-01,Short,44S,44,4145261,145369,359
NHozLQe99oM,Tortoise vs. Hare - Who Wins?,2025-04-26,Long Form,15M,900,3186774,62920,1558
UvAnYnJDpJc,NO WAY he actually made it 🤯 @gmgolf,2025-04-10,Short,50S,50,106114947,2775299,3532
YJt2E33zEL4,Stranded In Arctic Wilderness | Winter Survival Games,2025-04-05,Long Form,29M51S,1791,4117428,90156,2964
iL8Hir3KA1c,It just keeps getting crazier 😂,2025-04-03,Short,26S,26,3560070,59437,392
hvyzyQ2M_jo,Sooo THIS JUST HAPPENED 😳  New vid with Caitlin Clark coming soon...,2025-04-01,Short,18S,18,12878738,295954,2572
qxKuw-Q-Xx8,"#wbpartner This was INSANE. Go get tickets for A Minecraft Movie today, only in theaters April 4th!",2025-03-31,Short,2M49S,169,1658339,52088,509
y0ybVeYsiuk,It bent the bat 😱,2025-03-23,Short,44S,44,15482999,418546,540
iKB8StO052g,We Built A 1000 MPH Baseball Cannon,2025-03-22,Long Form,13M54S,834,4126989,78065,2599
YgqXFkj2pQ4,THE LIQUID NITROGEN ONE 😱 @NickDiGiovanni,2025-03-15,Short,1M,60,7051813,233480,460
pU-kmvzZmqM,Ty aura farming at the end 😂,2025-03-11,Short,37S,37,11494441,544995,1180
lcLpV8vYUg4,REAL or CAKE with Nick DiGiovanni,2025-03-08,Long Form,25M27S,1527,4882031,102459,3643
5Bw9XjBk8X4,Balloon Pop SHOWDOWN with @howridiculous!,2025-02-27,Short,1M8S,68,1957323,67172,427
jvUX3ocBSCk,20 YouTubers Compete in Biggest Trick Shot Contest Ever!,2025-02-22,Long Form,29M58S,1798,6658896,145840,4429
AqWjPfz1HEg,First To The Top Wins A Lamborghini,2025-02-08,Long Form,23M1S,1381,5519593,104921,2952
Zrtz_8k1MTc,Dear Luka...,2025-02-02,Short,24S,24,3157178,155291,1356
MjU2hs-mK2k,Dude Perfect vs Keanu Reeves (150 MPH),2025-01-25,Long Form,26M28S,1588,5128944,156717,3829
hbq1KsCJT68,Panda got absolutely POSTERIZED 🐼,2025-01-24,Short,48S,48,35278912,1127136,3334
sgC734u0hGI,bro was just doing his routine 😭🙏🏻,2025-01-23,Short,9S,9,117298194,3626084,4274
kObmcOaPcbM,We Built The World's Greatest Office,2025-01-11,Long Form,14M35S,875,7208545,230733,11047
InWF1xwBw1g,This vid’s gonna bang 💥,2024-12-31,Short,57S,57,2115270,83683,506
Tsejx-oR94c,Cowboy Airsoft Battle Royale,2024-12-28,Long Form,15M4S,904,5871623,132546,3855
aGfuAjHuMTE,The CRAZIEST Fishing Trip Ever,2024-12-14,Long Form,14M30S,870,3560328,93068,2026
Z80t7v1ZD8g,Take note ✍️,2024-12-07,Short,37S,37,8778344,471661,1633
_Bj0BecNq10,We tried to break THREE World Records in ONE hour with Jason Kelce 🏈🌭😂 @NFL,2024-12-02,Short,55S,55,1946290,97190,255
qdAeOWlKnrY,Birthday Stereotypes | Dude Perfect,2024-11-30,Long Form,12M29S,749,5547257,113646,5703
-5jlVEOJaLc,That's how break dancing should be done tbh,2024-11-28,Short,38S,38,11037235,423563,1844
rNcMFBHikKc,Which sports should we do next? 😂,2024-11-21,Short,35S,35,55593877,1773411,9528
L7nuMgfeynw,Average Dude vs. Steph Curry,2024-11-16,Long Form,24M12S,1452,16904372,382727,10251
ZInkQdVVhe4,Steph Curry's son the next member of Dude Perfect? 😤,2024-11-14,Short,40S,40,2308853,103127,343
lRN6C-8SszU,Which shot went in? 😵‍💫 #StephCurry,2024-11-10,Short,10S,10,17228911,369871,21291
9QXxid7t9oM,We Won Every Game at the State Fair!,2024-11-02,Long Form,14M43S,883,6989866,118632,2348
OqHfPvYkf9A,Mystery Detective Battle: HALLOWEEN,2024-10-19,Long Form,29M45S,1785,4996155,104348,3410
uCTsmdDMq0U,Dude Perfect Headquarters is GONE!,2024-10-05,Long Form,27M54S,1674,8303850,163569,4296
idFpAv9nh9E,Our Longest Trick Shots EVER,2024-09-21,Long Form,24M25S,1465,9736627,204160,4442
xJa8ydTQl64,Football is BACK! 🏈 Let's kick it off with some tailgating trick shots with @Reeses !,2024-09-17,Short,1M,60,2567829,98044,660
3ODA2VO00y4,Which one was the worst? 🤣,2024-09-16,Short,57S,57,4496321,200041,873
