Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
b6NCuJwTIMg,Lobster Crab Boil with ​⁠​⁠a UFC Champ,2025-08-18,Short,32S,32,277662,12657,128
dWeg54PVeOg,Inside a Salmon MEGA Farm (20 million lbs),2025-07-28,Short,46S,46,5468123,173868,1432
E_gckbY2HjE,Cooking Every EXOTIC Salmon,2025-07-23,Short,2M39S,159,6541646,406789,3781
iczZQVnKzIQ,Rating EVERY Outdoor Boys Meal,2025-07-21,Short,2M48S,168,10677337,728753,2555
AsI2TGaVn6E,"$50 vs $2,000 Brisket",2025-07-15,Short,1M6S,66,7216334,291377,1573
Mk87CPlWzzY,Cooking the World's DEADLIEST Animals,2025-07-09,Short,3M,180,21905860,1291357,17197
OxjdjieK5Nk,30lb Buffalo Wing,2025-07-02,Short,30S,30,12378728,335820,1136
LEbDxWMNirM,Fire Grilled Stingray,2025-06-18,Short,43S,43,7654293,283246,1983
NFbeAas3YN4,Fertilized Duck Egg… Round 2,2025-06-11,Short,1M2S,62,1247689,44197,1579
nxOk5eZ-W9Y,20 Day Dry Aged Chimichurri Duck,2025-06-04,Short,40S,40,2029423,70869,280
hziqTqnleM0,I Cooked Every Bird in the World,2025-05-23,Short,2M57S,177,38758500,2043929,23742
ZVWOwoIv6Bg,"1,000 Garlic Clove Prime Rib @CHEFCUSO",2025-05-21,Short,35S,35,2803746,89465,486
Uly7TYab6HE,Peter Luger Cowboy Butter Tomahawk,2025-05-11,Short,40S,40,1809223,78026,300
cw7nr8a7wH0,7 Day Honey Cured Wagyu A5,2025-05-10,Short,39S,39,23079915,826232,2923
D_QYRTqhtoQ,Barbacoa French Dip Cheese Steak @owen.han,2025-05-08,Short,40S,40,1632532,65987,222
KflDSgz4KIc,Jumbo Tomahawk for David Beckham,2025-04-30,Short,56S,56,4559901,153558,712
3tSvjeJZjGI,I Ranked the Best BBQ from EVERY Country,2025-04-23,Short,2M10S,130,8542518,467328,7295
Q3QiyVSaPZE,I Challenged America’s Best Brisket,2025-04-22,Short,1M,60,8964845,357906,1405
l1rAb8iNPcQ,Grinding Every Animal Into One Burger @NickDiGiovanni,2025-04-21,Short,26S,26,8708975,251660,2320
pKuguDpmti4,I Cooked the World’s RAREST Steaks,2025-04-11,Short,3M,180,6819345,365599,2365
gDfyZaujK6E,I Found Bacon in This Fish…,2025-03-26,Short,36S,36,10155492,383792,1141
OU4S0FSZkoI,I Covered Lamb in Jam,2025-03-24,Short,32S,32,1732202,98173,405
P9NbFXKQo-8,Cowboy Butter Lobster Roll,2025-03-19,Short,40S,40,1773347,93591,592
Aw5vc8jGQCY,"$50 vs $300 vs $1,000 Brisket",2025-03-13,Short,1M6S,66,24485835,927438,3048
sMtfXxOt-3o,Citrus Dry Aged Mahi Mahi,2025-03-04,Short,50S,50,2670475,173334,753
vzXULTmvWnk,I Cooked the World’s CRAZIEST Eggs,2025-02-25,Short,2M5S,125,28482372,1836394,12477
4UEzMoGvkXQ,"1,000 Garlic Clove Lamb Leg",2025-02-19,Short,34S,34,4576340,261846,1175
vGx5zex1YCY,7 Day Caramel Soaked Ribs,2025-02-19,Short,31S,31,1708682,110956,403
lp_Q393jAfw,I Cooked 100lbs of Protein Pt 3,2025-02-13,Short,1M,60,1602323,104201,560
AByKJ0-wpEs,I Cooked A 70lb Cow Leg,2025-02-12,Short,1M1S,61,5240161,281165,892
ig1rlhB5h1Q,I stole a whole cow leg pt 1…,2025-02-11,Short,44S,44,5489769,211837,252
w4jDx6Wenjw,World’s WORST Tasting Tuna,2025-02-10,Short,47S,47,3900328,178516,1546
QDBn3_WwbQo,If you find yourself with 20 lobsters…,2025-02-02,Short,31S,31,6001590,365749,2847
d4Z4HnDTnSA,The Lobster Hot Dog,2025-01-24,Short,37S,37,1547154,124506,548
kGS_WfpU82Q,When steak put me in the hospital…,2025-01-14,Short,1M1S,61,9166059,553591,1605
39-CvROyYUQ,7 Day Molasses Cured Tomahawk,2025-01-13,Short,41S,41,2345938,159078,555
UwfDi4tT5Og,Jalapeño Dry Aged Wagyu A5,2024-12-28,Short,1M3S,63,3538524,215164,830
jPTERm5G4vM,Deep Fried Prime Rib,2024-12-24,Short,34S,34,2050437,124961,342
OuM4JtRrIEI,Prime Rib Texas Toast Sandwich,2024-12-20,Short,43S,43,912880,75856,213
5QuFBdoHReA,The Perfect Prime Rib,2024-12-17,Short,1M11S,71,2275863,132027,730
7ED6rGme02E,The Brisket Football (Cooked in Clay),2024-12-16,Short,1M4S,64,26594315,1344690,3305
zAu4PRyKbu0,Panda Express Ran Out of Chicken…,2024-12-13,Short,33S,33,780142,57708,312
21ohKsJQA1g,I Tasted The World’s Most EXOTIC Meats,2024-12-12,Short,1M49S,109,11671332,698259,10812
-LCnCFHbbd8,How to slice every type of steak…,2024-12-11,Short,1M16S,76,1477316,79039,202
Jgw-HUH55ys,Pork Chop Accordion,2024-12-10,Short,45S,45,1144023,87632,519
68GyW48XoEU,Dry Aged Camel,2024-12-06,Short,33S,33,3479183,179241,1220
_I8OQEtRNEc,Buffalo Chicken Mac and Cheese,2024-12-04,Short,44S,44,898878,78924,332
O2E3ZIUho04,7 Day Honey Cured Steak,2024-12-03,Short,32S,32,77259750,4073916,11222
AiijhzdSj5Y,30 Tacos in 30 Hours,2024-12-01,Short,1M,60,1569782,100306,359
xGPQ2c1v5CI,Jalapeño Popper Pork Belly Accordion,2024-11-27,Short,54S,54,1649516,134706,726
2X0eMqOzyHE,The Perfect Thanksgiving Turkey,2024-11-26,Short,1M,60,2135218,130880,649
VG8fgE1e5_g,How to Carve a Turkey,2024-11-25,Short,36S,36,4140090,287788,444
mOug1POqBHY,Parm Wheel Dry Aged Steak,2024-11-25,Short,53S,53,9805283,599699,1978
cauLrvx8-Ew,The World’s Crispiest Turkey,2024-11-24,Short,46S,46,6371763,400887,934
vpJIT3m1wik,Prime Rib Pho,2024-11-23,Short,48S,48,629233,55394,425
r1KO1sWLU4M,Why is this sandwich soggy...,2024-10-30,Short,32S,32,1171827,75598,523
lSxNFw5muOk,Monte Cristo Big Mac,2024-10-23,Short,41S,41,2619546,131608,1032
34klRJM77Wk,$200 Zebra Steak,2024-10-21,Short,27S,27,5638170,296855,2840
3stVLdXiAjw,Truffle Parm Beef Hump,2024-10-18,Short,49S,49,1168257,74687,366
aQWn6QSUshY,"Forging The World’s Rarest Knife ($50,000)",2024-10-14,Short,45S,45,14314882,697950,5720
s8VNFro4k3c,Salmon Pastrami (game changer),2024-10-11,Short,21S,21,3857619,185201,414
ZPtCLU9rVvg,"Harvesting 3,000 lbs of Axis Deer",2024-10-09,Short,38S,38,2749414,122812,1083
c11YyI2PFVg,Steak School: T-Bone,2024-10-04,Short,41S,41,2439332,119062,345
eIwOI0XLCTk,Car Cooking: Max vs Costco Hot Dog,2024-09-27,Short,52S,52,6177069,390782,1251
gNGn90gVozA,Chimichurri Stuffed Chicken,2024-09-25,Short,34S,34,934104,60882,192
Owxl9dQxqis,"$2,500 Lobster Gnocchi",2024-09-22,Short,48S,48,9838589,631353,2812
xqBQVqqCGY4,Is this the perfect bite?,2024-09-18,Short,10S,10,5321293,279953,944
0bQ8whf9Bu0,Best “it’s raw” comment wins (tomahawk BLT),2024-09-11,Short,14S,14,10758022,465920,9397
E0QYtD8DZ_c,Wagyu A5 vs 2500° Forge,2024-08-26,Short,44S,44,12559586,671536,1232
Zc0qKEfzKQo,Live Fire Pork Belly Accordion,2024-08-19,Short,45S,45,5335676,312634,863
ZEh-qvsG3AE,Porchetta Roasted in Chimichurri Salt,2024-08-16,Short,48S,48,3777513,174981,788
Xg5eyXFgmJo,"$1 vs $5,000 Mac and Cheese",2024-08-13,Short,1M,60,94625493,3822310,13152
pdp8epfX7jk,Larry the Lobster Boil,2024-08-05,Short,53S,53,2840918,209836,1279
EI__pA1Rm2o,3 Levels of Duck...,2024-07-31,Short,44S,44,2975884,204771,605
t2viyjJFNPA,If you find yourself with a whole salmon...,2024-07-26,Short,36S,36,4265195,251726,1164
GfAf194V0KM,Doctor said I need to eat more vegetables...,2024-07-19,Short,24S,24,12045045,659960,3813
6JtLxCszFsE,"$3,000 Wagyu A5 Meat Tower",2024-07-10,Short,28S,28,4680043,259261,1284
V0gUMXDDD0Q,I almost burned down my neighborhood...,2024-07-06,Short,56S,56,702789,50865,265
k6PclBMD--E,Whole Salmon BURIED in Citrus Salt,2024-07-03,Short,45S,45,8042971,588936,1324
gR8HUkMWF3o,I took over a butcher shop for a day...,2024-06-29,Short,51S,51,964971,69282,251
S_qPNUVQd44,Bacon makes EVERYTHING Better,2024-06-28,Short,41S,41,1735629,111275,521
qe9ao1BBhfI,Deep Fried Dry-Aged Peking Duck,2024-06-25,Short,48S,48,1942581,143065,393
czPMeUtkQ-8,$250 Wagyu A5 Slim Jim,2024-06-20,Short,39S,39,4422291,273786,691
JOoM3Qis_1U,Don't watch if you hate butter and bacon...,2024-06-15,Short,47S,47,11249110,497570,2009
L5y_cvweBgQ,"$2,000 Wagyu Parm Pasta",2024-05-30,Short,36S,36,90479549,3336294,13925
kwfqjt-XBH8,Cooking a Frozen Brisket,2024-05-26,Short,42S,42,1287860,102044,269
YW_YtcieURY,Double Crunchwrap Cheeseburger,2024-05-22,Short,34S,34,2243038,155151,772
7z3WaCmKmWA,Max vs Salt Bae (I disowned my sister),2024-05-17,Short,29S,29,2261937,126168,441
U-IheOyI82U,"The Steak Review: Salt Bae ($1,000 tomahawk)",2024-05-15,Short,42S,42,3789415,197103,1368
uTpUh1iOcgQ,Everything I ate in Hawaii (While harvesting invasive species),2024-05-10,Short,58S,58,981484,67511,500
GQk9dJmLxXg,I Turned Steak Into Bread,2024-05-01,Short,32S,32,10079848,590457,1722
5_tuvX5ZqKk,Do you think he'll approve?,2024-05-01,Short,36S,36,2554566,174631,949
NvG2yteNJeo,Does it Deep Fry? Beef Short Ribs,2024-04-30,Short,28S,28,2100180,143083,285
t6b4kl2jn5s,Thor’s hammer cooked in fire salt…,2024-04-28,Short,1M,60,30836130,1528522,4531
5o9tKN4r8D8,The World's Biggest Salmon Chip…,2024-04-27,Short,59S,59,5301393,355635,1023
