Video ID,Title,Upload Date,Duration,Duration in s,View Count,Like Count,Comment Count
6MjyszudnPA,Speedrunning All Advancements With No Inventory,2025-03-28,55M40S,3340,336029,15307,529
6P25U-yKwVw,Dominating the BIGGEST Minecraft Event,2024-09-17,47M10S,2830,435967,17005,587
tHfKBn7khvs,Speedrunning Minecraft 1.21 All Advancements,2024-06-17,44M43S,2683,718552,23185,526
6xMMG9Gtyxs,"Dominating $100,000 Hunger Games Tournament",2024-04-06,1H15M4S,4504,2218816,58612,2188
soiBZYiIFDE,Minecraft All Advancements Speedrun World Record,2023-09-14,23M39S,1419,245499,11033,327
YSrumZTmrTw,Speedrunning Minecraft 1.20 All Advancements,2023-06-16,20M54S,1254,329918,13613,208
utRJSa3WbMs,"Winning $20,000 in a STACKED Minecraft Manhunt Tournament",2023-04-25,49M55S,2995,1534570,49102,1147
ti8cJQwxzpY,Minecraft All Advancements Speedrun World Record,2023-03-24,13M12S,792,263843,12461,374
PIre7jnlLLc,Speedrunning Every Minecraft Armor Trim,2023-01-30,21M,1260,300192,12658,355
8pyxGtbp_74,Minecraft Beaten In Under 10 Minutes [9:06],2022-08-31,10M50S,650,207524,10556,511
MAyABfbpODc,Speedrunning All Advancements in Minecraft 1.19,2022-06-12,21M1S,1261,249659,10226,272
h9F3lj6flPY,Minecraft All Advancements Sub 3 Run,2022-06-06,13M27S,807,202848,10871,357
X0IR2S4MkVI,Minecraft All Advancements Sub 4 Run,2022-02-11,16M32S,992,198674,11112,378
CgLn8SPX24A,The Fastest Minecraft Speedrun in North America,2022-01-10,11M53S,713,131123,6214,452
hTFZ42Z6mfA,My First All Advancements World Record,2021-11-13,24M8S,1448,215850,9944,429
D1H58pJ3Sy4,Speedrunning the CRAZIEST Minecraft Challenge,2021-10-27,18M20S,1100,47426,3221,179
mWjIL81z400,How I Almost Beat Brentilda's WORLD RECORD,2021-10-17,13M34S,814,58830,3841,296
csfeVyHJb88,I Beat Minecraft in Under 12 Minutes,2021-09-25,12M16S,736,40050,3439,333
mgOQ-4Nwg2k,Minecraft FORMER WORLD RECORD Blind Travel,2021-08-04,10M56S,656,38876,2678,209
-zz-uncw9zk,The Wackiest Minecraft Speedrun World Record,2021-07-23,4M58S,298,88652,6744,251
we7m3ah8N9k,I beat ALL OF Minecraft in Under 8 Hours,2021-07-20,20M49S,1249,154888,8605,370
D8IyJEazU7g,Minecraft Speedrunning with an Elytra,2021-07-16,9M56S,596,76958,4599,185
oImgrxw-v6I,How I got a TOP 20 Minecraft Speedrun,2021-07-08,13M52S,832,33208,2634,223
SHgzA2zO_L8,Speedrunning Hypixel Bedwars,2021-06-30,5M22S,322,38179,3014,224
qKguPVyNjh8,I lost a TOP 5 Minecraft Speedrun...,2021-06-25,10M45S,645,26806,2188,194
EKBRQ9vBBco,I almost got a NEW Minecraft 1.16 Personal Best,2021-06-23,13M56S,836,15490,1494,117
YHAI8oILDfs,This is the FASTEST Minecraft Speedrun Pace EVER,2021-06-17,12M15S,735,64285,3780,221
60h2xVxPDGM,"Speedrunning Minecraft, But There Are No Trees",2021-06-10,10M41S,641,52531,3790,187
