Video Id,Title,Transcript
YQ15ugO3eI8,Pork Chips and Salsa,UNKNOWN ERROR
PqU8NtHBgCk,Steak Pizza ft. @GugaFoods,today we're making a pizza massive tom and jerry steak with tons of tough cuts that definitely needed tenderizing season both sides and get it on the grill we're smoking over applewood low and slow quick sear and assemble the pizza sauce mozzarella parmesan and pepperoni with all of the essential toppings into the pizza oven pull at 125 crispy cheesy the perfect medium rare pizza
GXpioNviYl4,Everything I ate on a luxury cruise,the best things i ate on a luxury cruise started with a solid and perfectly cooked filet mignon had probably nine slices of pizza but very worth it on the beach had a pretty raw burger but i wasn't mad about it margarita too many espresso martinis and had some smoked swordfish which was light citrusy and very tasty followed by a wine tasting and a field shop that actually blew me away made a quick stop at the casino to lose all my money and felt atrocious the next morning but breakfast was good and for some reason dipped my pancake and milk found a guy behind a grill who is using homemade charcoal and serving the most incredible jerk chicken pork and fresh conk salad it was the teppanyaki guy's very first time on the job but it was extremely entertaining and he wasn't bad then an extremely sober guy ate food off the floor we finished with some osetra caviar and a 36 ounce dry aged tomahawk which had an insane crust and those were
EleODaehtgo,The Steak Monster 😈,!X! SUBTITLES DISABLED !X!
jPAR4KAajVY,Pick Juice Brined Steak,what happens when you brine a steak in pickle juice it keeps chicken juicy but let's see if it works on this large steak one in the fridge and the other in a combination of pickle juice and salt brine for 1 hour 1 hour later it had a pretty repulsive gray color but it actually felt more tender pat dry salt and pepper on the control and just pepper on the pickle and sear the pickle was having a way harder time developing a sear and this less pronounced crust definitely took away from the flavor the control was a standard delicious steak the pickle juice brine was interesting it was actually way more tender but the flavor just wasn't quite right it wasn't bad but it sort of tastes like pickles
bHgUL_W62sE,Pork Skin Chip,this is a pork skin chip carefully remove the skin and add to a dehydrator at 165 for the pork belly sriracha salt and barbecue rub on both sides and get it on the grill we're smoking over applewood low and slow to cut through the richness a tangy salsa avocado onion some mango lime juice for acidity and cilantro one day later our pork skin is completely dried out add to some hot oil and like magic it immediately puffs up and it is insanely crispy after eight hours we have great color on our pork and slicing into it unbelievably juicy with a massive smoke ring crispy skin tender pork to me this is the perfect bite
JJeznbuGEAI,The Steak Review: IHOP,this is the steak review and we're here at ihop t-bone dinner the first thing i noticed was a sad and inconsistent crust the strip was medium rare but the fillet was overcooked let's go for a bite it was on the chewier side and unfortunately the flavor was lacking perhaps ketchup was the answer absolutely zero improvement fortunately the pancakes saved the day light and fluffy those are incredible the big issue was that the steak was cut so thin with no chance of a flavorful crust with that a final score of 38 out of a hundred
bFRKVoR_Bsg,Dry Aged Bologna,today we're dry aging a whole bologna we're starting with the biggest hot dog i've ever seen and into the dry ager for 90 days three months later it was hard as a rock but it lost 40 percent of its weight it was not a grower slicing into it it had a dark outer ring but the inside still looked fresh most importantly how does it taste the texture was more firm and while the flavor was good i really don't have any plans on doing this ever again
6PDJXdjnWM4,My mom forced me to play the violin,my mom forced me to play the violin growing up my parents were pretty laid back but they had one hard rule if i wanted to live in their house i needed to play an instrument for a reason i do not understand at the age of three i decided that that instrument would be the violin every monday for 15 years my mom picked up me and my siblings from school with either pizza or mcdonald's in the car and we drove to our two hour violin lessons a drive that to this day gives me anxiety at first apparently i enjoyed it but as time went on i started hating as the kid who played classical violin i didn't really fall into the category of quote-unquote cool and to say i was a bad student was an understatement every week i watched as disappointment filled the face of my teacher she realized i barely made any progress but even with minimal practice 15 years worth of lessons will get you pretty good at something and as an adult i've finally been able to appreciate what my mom did for me for one it's allowed for opportunities like playing at friends weddings it's also left me feeling incredibly grateful to have parents who gave me opportunities to grow even though it meant that
yvy2a3gmNYs,Pork Belly Accordion,!X! SUBTITLES DISABLED !X!
